original_name	origin	en:france	en:belgium	en:germany	en:irland	en:italy	en:luxembourg	en:netherlands	en:spain	en:switzerland
Monde	en:world	0	0	0	0	0	0	0	0	0
Afghanistan	en:afghanistan	0	0	0	0	0	0	0	0	0
Afrique du Sud	en:south-africa	0	0	0	0	0	0	0	0	0
Albanie	en:albania	46	52	54	42	58	7	53	78	26
Algérie	en:algeria	31	49	49	37	56	40	48	71	49
Allemagne	en:germany	63	75	100	30	52	84	82	47	64
Andorre	en:andorra	59	42	18	4	48	43	34	69	16
Angola	en:angola	0	0	0	0	0	0	0	0	0
Anguilla	en:anguilla	47	47	47	38	33	38	46	49	25
Antarctique	en:antarctica	0	0	0	0	0	0	0	0	0
Antigua-et-Barbuda	en:antigua-and-barbuda	53	47	47	37	32	38	46	49	25
Antilles néerlandaises	en:caribbean-netherlands	52	38	38	54	23	29	37	41	16
Arabie Saoudite	en:saudi-arabia	0	20	20	7	24	11	19	32	17
Argentine	en:argentina	0	0	0	0	0	0	0	0	0
Arménie	en:armenia	21	3	3	0	20	0	2	26	13
Aruba	en:aruba	53	30	30	21	15	21	30	33	8
Australie	en:australia	0	0	0	0	0	0	0	0	0
Autriche	en:austria	65	45	58	16	63	53	44	51	61
Azerbaïdjan	en:azerbaijan	18	4	4	0	21	0	3	27	14
Bahamas	en:the-bahamas	54	43	43	34	25	34	43	42	18
Bahreïn	en:bahrain	29	44	44	31	48	35	43	56	40
Bande de Gaza		61	46	36	24	53	28	35	59	46
Bangladesh	en:bangladesh	13	26	26	13	30	17	23	38	22
Barbade	en:barbados	57	46	45	35	32	37	45	48	25
Belgique	en:belgium	85	100	76	51	45	89	92	21	71
Belize	en:belize	44	24	24	15	8	15	24	24	1
Bénin	en:benin	30	16	16	4	8	7	16	24	1
Bermudes	en:bermuda	0	54	54	45	36	46	54	53	29
Bhoutan	en:bhutan	0	0	0	0	1	0	0	9	0
Biélorussie	en:belarus	37	7	34	37	1	8	13	31	6
Bolivie	en:bolivia	0	0	0	0	0	0	0	0	0
Bosnie-Herzégovine	en:bosnia-and-herzegovina	43	21	28	30	58	27	21	66	40
Botswana	en:botswana	0	0	0	0	0	0	0	0	0
Brésil	en:brazil	0	0	0	0	0	0	0	0	0
Brunei	en:brunei	0	19	18	6	22	10	18	0	15
Bulgarie	en:bulgaria	15	25	25	13	42	16	24	49	35
Burkina Faso	en:burkina-faso	0	0	0	0	0	0	0	7	0
Burundi	en:burundi	0	0	0	0	0	0	0	0	0
Cambodge	en:cambodia	0	5	5	0	9	0	5	17	2
Cameroun	en:cameroon	1	12	12	0	4	3	11	20	0
Canada	en:canada	0	0	0	0	0	0	0	0	0
Cap-Vert	en:cape-verde	65	64	64	52	54	55	63	72	47
Chili	en:chile	0	0	0	0	0	0	0	0	0
Chine	en:china	0	0	0	0	0	0	0	0	0
Chypre	en:cyprus	37	43	43	32	60	35	43	67	53
Cité du Vatican	en:vatican-city	55	27	24	13	81	35	19	3	56
Colombie	en:colombia	13	0	0	0	0	0	0	0	0
Comores	en:comoros	24	43	43	30	47	34	43	56	40
Congo [RDC]	en:democratic-republic-of-the-congo	0	0	0	0	0	0	0	0	0
Congo [République]	en:republic-of-the-congo	8	0	0	0	0	0	0	0	0
Corée du Nord	en:north-korea	0	0	0	0	0	0	0	2	0
Corée du Sud	en:south-korea	0	0	0	0	1	0	0	9	0
Costa Rica	en:costa-rica	37	12	6	0	0	0	6	8	0
Côte d'Ivoire	en:cote-d-ivoire	37	29	29	38	21	20	29	37	14
Croatie	en:croatia	37	21	43	32	74	44	35	68	54
Cuba	en:cuba	37	17	7	9	0	0	6	6	0
Danemark	en:denmark	55	47	69	14	12	52	55	47	34
Djibouti	en:djibouti	47	47	47	34	51	38	46	59	44
Dominique	en:dominica	57	45	45	35	31	36	45	48	24
Eaux internationales	en:international-waters	0	0							
Égypte	en:egypt	33	0	0	0	12	0	0	19	5
Émirats arabes unis	en:united-arab-emirates	21	40	40	27	44	31	39	52	37
Équateur	en:ecuador	25	10	9	1	0	1	9	11	0
Érythrée	en:eritrea	50	55	55	42	59	46	55	67	52
Espagne	en:spain	58	21	52	41	13	16	13	100	20
Estonie	en:estonia	50	79	10	60	36	70	79	54	29
États-Unis	en:united-states	0	0	0	0	0	0	0	0	0
États-Unis, îles Vierges	en:virgin-islands-of-the-united-states	58	47	27	17	20	38	26	38	13
Éthiopie	en:ethiopia	17	22	22	9	26	13	21	34	19
Europe	en:european-union	8	8	75	6	53	2	57	35	62
Falkland Islands [Islas Malvinas] (Îles Malouines)	en:falkland-islands	0	6	6	0	0	0	5	14	0
Fidji	en:fiji	0	0	0	0	0	0	0	0	0
Finlande	en:finland	42	70	6	51	28	61	71	45	20
France	en:france	100	85	61	47	47	82	77	37	69
Gabon	en:gabon	35	11	11	0	3	2	10	19	0
Gambie	en:gambia	60	53	52	40	44	44	52	61	37
Géorgie	en:georgia	50	27	27	16	44	18	27	51	37
Géorgie du Sud et les îles Sandwich du Sud	en:south-georgia-and-the-south-sandwich-islands	0	9	9	0	0	0	8	17	0
Ghana	en:ghana	33	23	23	11	14	14	22	31	7
Gibraltar	en:gibraltar	78	76	76	64	72	67	75	90	65
Grèce	en:greece	24	53	53	41	24	44	52	76	63
Grenade	en:grenada	54	44	43	34	30	35	43	46	23
Groenland	en:greenland	11	63	64	55	35	55	63	52	28
