original_name	bonus	origin
Monde	-3	en:world
Afghanistan	-3	en:afghanistan
Afrique du Sud	-3	en:south-africa
Albanie	-3	en:albania
Algérie	-3	en:algeria
Allemagne	2	en:germany
Andorre	0	en:andorra
Angola	-3	en:angola
Anguilla	0	en:anguilla
Antarctique	0	en:antarctica
Antigua-et-Barbuda	-3	en:antigua-and-barbuda
Antilles néerlandaises	0	en:caribbean-netherlands
Arabie Saoudite	-3	en:saudi-arabia
Argentine	-2	en:argentina
Arménie	-2	en:armenia
Aruba	0	en:aruba
Australie	1	en:australia
Autriche	2	en:austria
Azerbaïdjan	-3	en:azerbaijan
Bahamas	-3	en:the-bahamas
Bahreïn	-2	en:bahrain
Bande de Gaza	0	
Bangladesh	-3	en:bangladesh
Barbade	-3	en:barbados
Belgique	1	en:belgium
Belize	-3	en:belize
Bénin	-3	en:benin
Bermudes	0	en:bermuda
Bhoutan	-3	en:bhutan
Biélorussie	-2	en:belarus
Bolivie	-3	en:bolivia
Bosnie-Herzégovine	-3	en:bosnia-and-herzegovina
Botswana	-3	en:botswana
Brésil	-2	en:brazil
Brunei	0	en:brunei
Bulgarie	-1	en:bulgaria
Burkina Faso	-3	en:burkina-faso
Burundi	-3	en:burundi
Cambodge	-3	en:cambodia
Cameroun	-3	en:cameroon
Canada	1	en:canada
Cap-Vert	0	en:cape-verde
Chili	-2	en:chile
Chine	-3	en:china
Chypre	0	en:cyprus
Cité du Vatican	0	en:vatican-city
Colombie	-2	en:colombia
Comores	-3	en:comoros
Congo [RDC]	0	en:democratic-republic-of-the-congo
Congo [République]	0	en:republic-of-the-congo
Corée du Nord	0	en:north-korea
Corée du Sud	0	en:south-korea
Costa Rica	-2	en:costa-rica
Côte d'Ivoire	0	en:cote-d-ivoire
Croatie	-1	en:croatia
Cuba	-3	en:cuba
Danemark	2	en:denmark
Djibouti	-3	en:djibouti
Dominique	-3	en:dominica
Eaux internationales	0	en:international-waters
Égypte	-3	en:egypt
Émirats arabes unis	-2	en:united-arab-emirates
Équateur	-2	en:ecuador
Érythrée	-3	en:eritrea
Espagne	1	en:spain
Estonie	0	en:estonia
États-Unis	0	en:united-states
États-Unis, îles Vierges	0	en:virgin-islands-of-the-united-states
Éthiopie	-3	en:ethiopia
Europe	-1	en:european-union
Falkland Islands [Islas Malvinas] (Îles Malouines)	0	en:falkland-islands
Fidji	-3	en:fiji
Finlande	2	en:finland
France	2	en:france
Gabon	-3	en:gabon
Gambie	-3	en:gambia
Géorgie	-3	en:georgia
Géorgie du Sud et les îles Sandwich du Sud	0	en:south-georgia-and-the-south-sandwich-islands
Ghana	-3	en:ghana
Gibraltar	0	en:gibraltar
Grèce	0	en:greece
Grenade	-3	en:grenada
Groenland	0	en:greenland
Guadeloupe	2	en:guadeloupe
Guam	0	en:guam
Guatemala	-3	en:guatemala
Guernesey	0	en:guernsey
Guinée	-3	en:guinea
Guinée équatoriale	-3	en:equatorial-guinea
Guinée-Bissau	-3	en:guinea-bissau
Guyane	-3	en:guyana
Haïti	-3	en:haiti
Honduras	-3	en:honduras
Hong Kong	0	en:hong-kong
Hongrie	0	en:hungary
Île Heard et îles McDonald	0	en:heard-island-and-mcdonald-islands
Îles Caïmans	0	en:cayman-islands
Îles Cocos [Keeling] (Îles)	0	en:cocos-keeling-islands
Îles Cook	0	en:cook-islands
Îles Féroé	0	en:faroe-islands
Îles Mariannes du Nord	0	en:northern-mariana-islands
